고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
22992,공항철도,,인천공항1터미널,END,DOWN,0,A1023,,14:15:00,서울역,인천공항2터미널
22993,공항철도,,인천공항2터미널,DAY,DOWN,0,A1024,,12:45:00,인천공항2터미널,서울역
22994,공항철도,,인천공항1터미널,DAY,DOWN,0,A1024,,12:53:00,인천공항2터미널,서울역
22995,공항철도,,인천공항2터미널,SAT,DOWN,0,A1024,,12:45:00,인천공항2터미널,서울역
22996,공항철도,,인천공항2터미널,END,DOWN,0,A1024,,12:45:00,인천공항2터미널,서울역
22997,공항철도,,인천공항1터미널,SAT,DOWN,0,A1024,,12:53:00,인천공항2터미널,서울역
22998,공항철도,,인천공항1터미널,END,DOWN,0,A1024,,12:53:00,인천공항2터미널,서울역
22999,공항철도,,서울역,DAY,DOWN,0,A1025,,14:10:00,서울역,인천공항2터미널
23000,공항철도,,인천공항1터미널,DAY,DOWN,0,A1025,,14:55:00,서울역,인천공항2터미널
23001,공항철도,,서울역,SAT,DOWN,0,A1025,,14:10:00,서울역,인천공항2터미널
23002,공항철도,,서울역,END,DOWN,0,A1025,,14:10:00,서울역,인천공항2터미널
23003,공항철도,,인천공항1터미널,SAT,DOWN,0,A1025,,14:55:00,서울역,인천공항2터미널
23004,공항철도,,인천공항1터미널,END,DOWN,0,A1025,,14:55:00,서울역,인천공항2터미널
23005,공항철도,,인천공항2터미널,DAY,DOWN,0,A1026,,13:20:00,인천공항2터미널,서울역
23006,공항철도,,인천공항1터미널,DAY,DOWN,0,A1026,,13:28:00,인천공항2터미널,서울역
23007,공항철도,,인천공항2터미널,SAT,DOWN,0,A1026,,13:20:00,인천공항2터미널,서울역
23008,공항철도,,인천공항2터미널,END,DOWN,0,A1026,,13:20:00,인천공항2터미널,서울역
23009,공항철도,,인천공항1터미널,SAT,DOWN,0,A1026,,13:28:00,인천공항2터미널,서울역
23010,공항철도,,인천공항1터미널,END,DOWN,0,A1026,,13:28:00,인천공항2터미널,서울역
23011,공항철도,,서울역,DAY,DOWN,0,A1027,,14:50:00,서울역,인천공항2터미널
23012,공항철도,,인천공항1터미널,DAY,DOWN,0,A1027,,15:35:00,서울역,인천공항2터미널
